codepoint,replacement,status,rule_type,notes_safe
U+E0AF,,UNMAPPED,SIMPLE,unmapped; human review required
U+F000,กั,VERIFIED,SIMPLE,human-reviewed
U+F001,,UNMAPPED,SIMPLE,unmapped; human review required
U+F003,,UNMAPPED,SIMPLE,unmapped; human review required
U+F005,,UNMAPPED,SIMPLE,unmapped; human review required
U+F006,,UNMAPPED,SIMPLE,unmapped; human review required
U+F007,จั,VERIFIED,SIMPLE,human-reviewed
U+F008,,UNMAPPED,SIMPLE,unmapped; human review required
U+F009,,UNMAPPED,SIMPLE,unmapped; human review required
U+F00A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F00C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F012,,UNMAPPED,SIMPLE,unmapped; human review required
U+F013,ดั,VERIFIED,SIMPLE,human-reviewed
U+F014,ตั,VERIFIED,SIMPLE,human-reviewed
U+F015,,UNMAPPED,SIMPLE,unmapped; human review required
U+F016,ทั,VERIFIED,SIMPLE,human-reviewed
U+F017,,UNMAPPED,SIMPLE,unmapped; human review required
U+F018,นั,VERIFIED,SIMPLE,human-reviewed
U+F019,บั,VERIFIED,SIMPLE,human-reviewed
U+F01A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F01B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F01C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F01D,พั,VERIFIED,SIMPLE,human-reviewed
U+F01E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F01F,ภั,VERIFIED,SIMPLE,human-reviewed
U+F020,มั,VERIFIED,SIMPLE,human-reviewed
U+F021,ยั,VERIFIED,SIMPLE,human-reviewed
U+F022,รั,VERIFIED,SIMPLE,human-reviewed
U+F024,ลั,VERIFIED,SIMPLE,human-reviewed
U+F026,วั,VERIFIED,SIMPLE,human-reviewed
U+F027,ศั,VERIFIED,SIMPLE,human-reviewed
U+F028,,UNMAPPED,SIMPLE,unmapped; human review required
U+F029,สั,VERIFIED,SIMPLE,human-reviewed
U+F02A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F02C,อั,VERIFIED,SIMPLE,human-reviewed
U+F02D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F02E,กิ,VERIFIED,SIMPLE,human-reviewed
U+F02F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F031,คิ,VERIFIED,SIMPLE,human-reviewed
U+F034,,UNMAPPED,SIMPLE,unmapped; human review required
U+F035,,UNMAPPED,SIMPLE,unmapped; human review required
U+F036,,UNMAPPED,SIMPLE,unmapped; human review required
U+F037,,UNMAPPED,SIMPLE,unmapped; human review required
U+F038,,UNMAPPED,SIMPLE,unmapped; human review required
U+F03A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F03C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F040,,UNMAPPED,SIMPLE,unmapped; human review required
U+F041,ดิ,VERIFIED,SIMPLE,human-reviewed
U+F042,ติ,VERIFIED,SIMPLE,human-reviewed
U+F043,,UNMAPPED,SIMPLE,unmapped; human review required
U+F044,,UNMAPPED,SIMPLE,unmapped; human review required
U+F045,,UNMAPPED,SIMPLE,unmapped; human review required
U+F046,,UNMAPPED,SIMPLE,unmapped; human review required
U+F047,,UNMAPPED,SIMPLE,unmapped; human review required
U+F048,,UNMAPPED,SIMPLE,unmapped; human review required
U+F049,,UNMAPPED,SIMPLE,unmapped; human review required
U+F04B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F04C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F04D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F04E,มิ,VERIFIED,SIMPLE,human-reviewed
U+F04F,ยิ,VERIFIED,SIMPLE,human-reviewed
U+F050,ริ,VERIFIED,SIMPLE,human-reviewed
U+F052,,UNMAPPED,SIMPLE,unmapped; human review required
U+F054,วิ,VERIFIED,SIMPLE,human-reviewed
U+F055,,UNMAPPED,SIMPLE,unmapped; human review required
U+F057,สิ,VERIFIED,SIMPLE,human-reviewed
U+F058,,UNMAPPED,SIMPLE,unmapped; human review required
U+F05A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F05B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F05C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F05D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F05F,,UNMAPPED,SIMPLE,unmapped; human review required
